Library Name,Location Name,Permanent Call Number,Normalized Call Number,Call Number Suffix,Author,Title,Publication Place,Publisher,Publication Date,Begin Publication Date,Edition,Series,ISBN,ISSN,Public note,Non Public Note,Immediate Source of Acquisition Note,Ownership and Custodial History,Suppressed From Discovery,End Publication Date,MMS Id,Language Code,Place of Publication - Country,245$c,Holding Id,Method Of Acquisition
Queens' College,QUE,AM Dav,7##bliss##am dav,,"Davis, Philip J., 1923-2018 author.",The mathematical experience /,"New York, NY :",Birkhäuser,[2012],2012,Study edition.,Modern Birkhäuser classics.,0817682945; 9780817682941; 9780817682958; 0817682953,,,,,,No,2012,998628153503606,eng,United States,"Philip J. Davis, Reuben Hersh, Elena Anne Marchisotto.",22652127570003606,u
Queens' College,QUE,AM Gow,7##bliss##am gow,,,The Princeton companion to mathematics /,Princeton :,Princeton University Press,[2008],2008,,,0691118809; 9780691118802,,Reference only,,,,No,2008,991005027789703606,eng,United States,"editor, Timothy Gowers ; associate editors, June Barrow-Green, Imre Leader.",22509839920003606,p
Queens' College,QUE,AM Gow,7##bliss##am gow,,"Gowers, Timothy.",Mathematics : a very short introduction /,Oxford :,Oxford University Press,2002.,2002,,Very short introductions ; 66.; Very short introductions,0199504687; 9780199504688; 0192853619; 9780192853615,,1 copy,,,,No,,991001587099703606,eng,United Kingdom,Timothy Gowers.,22443485530003606,p
Queens' College,QUE,AM Hof,7##bliss##am hof,,"Hoffman, Paul, 1956- author.",Archimedes' revenge : the joys and perils of mathematics /,New York :,WW Norton and Company,[1988],1988,,,9780393327755; 0393327752,,,,,,No,1988,991006694623903606,eng,United States,Paul Hoffman.,22654156950003606,u
Queens' College,QUE,AM Hou,7##bliss##am hou,,"Houston, Kevin, 1968-",How to think like a mathematician : a companion to undergraduate mathematics /,Cambridge :,Cambridge University Press,2009,2011,,,0521895464; 9780521895460; 052171978X; 9780521719780,,,,,,No,2009,991003469949703606,eng,United Kingdom,Kevin Houston.,22503555000003606,p
Queens' College,QUE,AM Hou,7##bliss##am hou,,"Houston, Kevin, 1968-",How to think like a mathematician : a companion to undergraduate mathematics /,Cambridge :,Cambridge University Press,2009,2011,,,0521895464; 9780521895460; 052171978X; 9780521719780,,Reference,,,,No,2009,991003469949703606,eng,United Kingdom,Kevin Houston.,22503554940003606,p
Queens' College,QUE,AM Waz,7##bliss##am waz,,"Wazir, Ibrahim.",Higher level mathematics : developed specifically for the IB Diploma /,,Pearson; Harlow,2009.,2009,,Pearson baccalaureate.,0435994417; 9780435994419,,,,,,No,,997097503603606,eng,United Kingdom,"Ibrahim Wazir, Tim Garry.",22392251720003606,u
Queens' College,QUE,AM 2A Bro,7##bliss##am000000000002a bro,Bro,"Brown, James Robert.",Philosophy of mathematics : a contemporary introduction to the world of proofs and pictures /,New York ; London :,Routledge,2008.,2008,2nd ed.,Routledge contemporary introductions to philosophy.,9780415960472; 0415960479; 0415960487; 9780415960489; 020393296X; 9780203932964,,,,,,No,,991002696079703606,eng,United States,James Robert Brown.,22442487600003606,p
Queens' College,QUE,AM 2A Gia,7##bliss##am000000000002a gia,,"Giaquinto, M. (Marcus)",The search for certainty : a philosophical account of foundations of mathematics /,Oxford :,Clarendon Press,c2002.,2002,,,9780198752455; 0198752458; 9780198752448; 019875244X,,,,,,No,,991003332589703606,eng,United Kingdom,M. Giaquinto.,22432257260003606,p
Queens' College,QUE,AM 2A Har,7##bliss##am000000000002a har,,"Hardy, G. H. 1877-1947. (Godfrey Harold),",A mathematician's apology /,Cambridge :,Cambridge University Press,2012.,2012,Canto ed.,Canto classics.,9781107604636; 110760463X,,,,,,No,1992,991005948799703606,eng,United Kingdom,by G.H. Hardy ; with a foreword by C.P. Snow.,22519052110003606,u
